,gene
1534,Borcs8
1535,Bpgm
1536,Bphl
1537,Bpnt1
1538,Bptf
1539,Braf
1540,Brap
1541,Brat1
1542,Brca1
1543,Brca2
1544,Brcc3
1545,Brd1
1546,Brd2
1547,Brd3
1548,Brd4
1549,Brd7
1550,Brd8
1551,Brd9
1552,Brdt
1553,Brf1
1554,Bri3
1555,Bri3bp
1556,Brinp1
1557,Brinp3
1558,Brip1
1559,Brip1os
1560,Brix1
1561,Brk1
1562,Brms1l
1563,Brox
1564,Brpf3
1565,Brwd1
1566,Brwd3
1567,Bscl2
1568,Bsdc1
1569,Bsg
1570,Bsn
1571,Bst2
1572,Btaf1
1573,Btbd1
1574,Btbd10
1575,Btbd2
1576,Btbd3
1577,Btbd7
1578,Btbd8
1579,Btbd9
1580,Btc
1581,Btd
1582,Btf3
1583,Btf3l4
1584,Btg1
1585,Btg2
1586,Btg3
1587,Btk
1588,Btla
1589,Btnl7-ps
1590,Btrc
1591,Bub1
1592,Bub1b
1593,Bub3
1594,Bud13
1595,Bud23
1596,Bud31
1597,Bves
1598,Bvht
1599,Bysl
1600,Bzw1
1601,Bzw2
1602,C030004G16Rik
1603,C030006K11Rik
1604,C030017G13Rik
1605,C130026I21Rik
1606,C130026L21Rik
1607,C130036L24Rik
1608,C130071C03Rik
1609,C130073E24Rik
1610,C130093G08Rik
1611,C1d
1612,C1galt1c1
1613,C1qbp
1614,C1qtnf1
1615,C1qtnf6
1616,C1ra
1617,C1rb
1618,C1rl
1619,C1s1
1620,C1s2
1621,C2
1622,C230014O12Rik
1623,C230062I16Rik
1624,C2cd2
1625,C2cd3
1626,C2cd5
1627,C3
1628,C330002G04Rik
1629,C330007P06Rik
1630,C330019F10Rik
1631,C430049B03Rik
1632,C530005A16Rik
1633,C530008M17Rik
1634,C5ar1
1635,C630043F03Rik
1636,C7
1637,C730034F03Rik
1638,C77080
1639,C87436
1640,C9
1641,C920009B18Rik
1642,C920021L13Rik
1643,C9orf72
1644,CT010467.1
1645,CT010467.2
1646,Caap1
1647,Cab39
1648,Cab39l
1649,Cabin1
1650,Cables1
1651,Cacfd1
1652,Cachd1
1653,Cacna1a
1654,Cacna1b
1655,Cacna1c
1656,Cacna1d
1657,Cacna1e
1658,Cacna1g
1659,Cacna1h
1660,Cacna1s
1661,Cacna2d1
1662,Cacna2d3
1663,Cacna2d4
1664,Cacnb1
1665,Cacnb2
1666,Cacnb3
1667,Cacnb4
1668,Cacng5
1669,Cacng7
1670,Cacng8
1671,Cactin
1672,Cacul1
1673,Cacybp
1674,Cad
1675,Cadm1
1676,Cadm4
1677,Cadps
1678,Cadps2
1679,Cage1
1680,Calcoco1
1681,Calcoco2
1682,Calcr
1683,Calcrl
1684,Cald1
1685,Calhm2
1686,Calm1
1687,Calm2
1688,Calm3
1689,Calml4
1690,Caln1
1691,Calr
1692,Calr-ps
1693,Calr3
1694,Calu
1695,Caly
1696,Camk1
1697,Camk1d
1698,Camk2a
1699,Camk2b
1700,Camk2d
1701,Camk2g
1702,Camk4
1703,Camkk2
1704,Camkmt
1705,Caml
1706,Camsap1
1707,Camsap2
1708,Camta1
1709,Camta2
1710,Cand1
1711,Cand2
1712,Cant1
1713,Canx
1714,Cap1
1715,Cap2
1716,Capg
1717,Capn1
1718,Capn10
1719,Capn11
1720,Capn15
1721,Capn2
1722,Capn7
1723,Capn9
1724,Capns1
1725,Caprin1
1726,Caprin2
1727,Capza1
1728,Capza1-ps1
1729,Capza2
1730,Capzb
1731,Car12
1732,Car13
1733,Car6
1734,Car8
1735,Card10
1736,Card19
1737,Card6
1738,Carf
1739,Carhsp1
1740,Carm1
1741,Carmil1
1742,Carmn
1743,Carnmt1
1744,Cars
1745,Cars2
1746,Casc3
1747,Casc4
1748,Casd1
1749,Cask
1750,Casp1
1751,Casp12
1752,Casp2
1753,Casp3
1754,Casp4
1755,Casp6
1756,Casp7
1757,Casp8
1758,Casp8ap2
1759,Casq2
1760,Cass4
1761,Cast
1762,Castor2
1763,Casz1
1764,Cat
1765,Catsper2
1766,Catsperb
1767,Catsperd
1768,Catspere1
1769,Catspere2
1770,Catsperg1
1771,Cav1
1772,Cav2
1773,Cavin1
1774,Cavin2
1775,Cavin3
1776,Cavin4
1777,Cbfa2t2
1778,Cbfb
1779,Cbl
1780,Cblb
1781,Cblc
1782,Cbll1
1783,Cbr1
1784,Cbr2
1785,Cbr4
1786,Cbs
1787,Cbwd1
1788,Cbx1
1789,Cbx3
1790,Cbx3-ps2
1791,Cbx3-ps7
1792,Cbx3-ps8
1793,Cbx4
1794,Cbx5
1795,Cbx6
1796,Cbx7
1797,Cbx8
1798,Cby1
1799,Cc2d1a
1800,Cc2d2a
1801,Ccar1
1802,Ccdc102a
1803,Ccdc107
1804,Ccdc112
1805,Ccdc114
1806,Ccdc115
1807,Ccdc117
1808,Ccdc12
1809,Ccdc120
1810,Ccdc122
1811,Ccdc124
1812,Ccdc125
1813,Ccdc127
1814,Ccdc130
1815,Ccdc134
1816,Ccdc136
1817,Ccdc137
1818,Ccdc138
1819,Ccdc14
1820,Ccdc141
1821,Ccdc146
1822,Ccdc15
1823,Ccdc150
1824,Ccdc152
1825,Ccdc157
1826,Ccdc158
1827,Ccdc159
1828,Ccdc162
1829,Ccdc163
1830,Ccdc167
1831,Ccdc170
1832,Ccdc171
1833,Ccdc174
1834,Ccdc178
1835,Ccdc18
1836,Ccdc181
1837,Ccdc186
1838,Ccdc187
1839,Ccdc191
1840,Ccdc192
1841,Ccdc25
1842,Ccdc28a
1843,Ccdc28b
1844,Ccdc30
1845,Ccdc32
1846,Ccdc34
1847,Ccdc36
1848,Ccdc40
1849,Ccdc43
1850,Ccdc47
1851,Ccdc50
1852,Ccdc50-ps
1853,Ccdc51
1854,Ccdc57
1855,Ccdc58
1856,Ccdc59
1857,Ccdc6
1858,Ccdc60
1859,Ccdc61
1860,Ccdc62
1861,Ccdc63
1862,Ccdc65
1863,Ccdc66
1864,Ccdc68
1865,Ccdc69
1866,Ccdc71
1867,Ccdc73
1868,Ccdc77
1869,Ccdc7a
1870,Ccdc80
1871,Ccdc81
1872,Ccdc82
1873,Ccdc84
1874,Ccdc85b
1875,Ccdc85c
1876,Ccdc86
1877,Ccdc88a
1878,Ccdc88c
1879,Ccdc9
1880,Ccdc90b
1881,Ccdc91
1882,Ccdc92
1883,Ccdc92b
1884,Ccdc93
1885,Ccdc97
1886,Ccdc9b
1887,Cchcr1
1888,Cckbr
1889,Ccl17
1890,Ccl2
1891,Ccl25
1892,Ccl27a
1893,Ccl28
1894,Ccl5
1895,Ccl7
1896,Ccl9
1897,Ccm2
1898,Ccm2l
1899,Ccn1
1900,Ccn2
1901,Ccn4
1902,Ccn5
1903,Ccna2
1904,Ccnb1
1905,Ccnb1-ps
1906,Ccnb1ip1
1907,Ccnb2
1908,Ccnc
1909,Ccnd1
1910,Ccnd2
1911,Ccnd3
1912,Ccndbp1
1913,Ccne1
1914,Ccne2
1915,Ccnf
1916,Ccng1
1917,Ccnh
1918,Ccni
1919,Ccnj
1920,Ccnjl
1921,Ccnk
1922,Ccnl1
1923,Ccnl2
1924,Ccnq
1925,Ccnt1
1926,Ccnt2
1927,Ccny
1928,Ccp110
1929,Ccpg1os
1930,Ccr4
1931,Ccs
1932,Ccser1
1933,Ccser2
1934,Cct2
1935,Cct3
1936,Cct4
1937,Cct5
1938,Cct6a
1939,Cct6b
1940,Cct7
1941,Cct8
1942,Ccz1
1943,Cd109
1944,Cd14
1945,Cd151
1946,Cd164
1947,Cd207
1948,Cd226
1949,Cd247
1950,Cd24a
1951,Cd276
1952,Cd2ap
1953,Cd2bp2
1954,Cd302
1955,Cd320
1956,Cd38
1957,Cd3eap
1958,Cd4
1959,Cd44
1960,Cd47
1961,Cd55
1962,Cd59a
1963,Cd59b
1964,Cd63
1965,Cd63-ps
1966,Cd74
1967,Cd81
1968,Cd82
1969,Cd9
1970,Cd99l2
1971,Cda
1972,Cdadc1
1973,Cdc123
1974,Cdc14a
1975,Cdc14b
1976,Cdc16
1977,Cdc20
1978,Cdc20b
1979,Cdc23
1980,Cdc25a
1981,Cdc25b
1982,Cdc25c
1983,Cdc26
1984,Cdc27
1985,Cdc34
1986,Cdc37
1987,Cdc37l1
1988,Cdc40
1989,Cdc42
1990,Cdc42bpa
1991,Cdc42bpb
1992,Cdc42ep1
1993,Cdc42ep2
1994,Cdc42ep3
1995,Cdc42ep5
1996,Cdc42se1
1997,Cdc42se2
1998,Cdc45
1999,Cdc5l
2000,Cdc6
2001,Cdc7
2002,Cdc73
2003,Cdca2
2004,Cdca3
2005,Cdca4
2006,Cdca5
2007,Cdca7
2008,Cdca7l
2009,Cdca8
2010,Cdh1
2011,Cdh10
2012,Cdh11
2013,Cdh13
2014,Cdh18
2015,Cdh2
2016,Cdh22
2017,Cdh23
2018,Cdh26
2019,Cdh3
2020,Cdhr2
2021,Cdhr3
2022,Cdip1
2023,Cdipt
2024,Cdk1
2025,Cdk10
2026,Cdk11b
2027,Cdk12
2028,Cdk13
2029,Cdk14
2030,Cdk16
2031,Cdk17
2032,Cdk18
2033,Cdk19
2034,Cdk2
2035,Cdk20
2036,Cdk2ap1
2037,Cdk2ap2
2038,Cdk4
2039,Cdk5
2040,Cdk5rap1
2041,Cdk5rap2
2042,Cdk5rap3
2043,Cdk6
2044,Cdk7
2045,Cdk8
2046,Cdk9
2047,Cdkal1
2048,Cdkl1
2049,Cdkl2
2050,Cdkl3
2051,Cdkl5
2052,Cdkn1a
2053,Cdkn1b
2054,Cdkn2a
2055,Cdkn2aipnl
2056,Cdkn2b
2057,Cdkn2c
2058,Cdkn2d
2059,Cdkn3
2060,Cdon
2061,Cdpf1
2062,Cdr2l
2063,Cds2
2064,Cdsn
2065,Cdt1
2066,Cdv3
2067,Cdyl
2068,Ceacam10
2069,Ceacam20
2070,Cebpb
2071,Cebpd
2072,Cebpg
2073,Cebpz
2074,Cebpzos
2075,Cecr2
2076,Cela1
2077,Celf1
2078,Celf2
2079,Celf6
2080,Celsr1
2081,Cemip
2082,Cemip2
2083,Cenpa
2084,Cenpb
2085,Cenpc1
2086,Cenpe
2087,Cenpf
2088,Cenph
2089,Cenpi
2090,Cenpj
2091,Cenpk
2092,Cenpl
2093,Cenpm
2094,Cenpn
2095,Cenpp
2096,Cenpq
2097,Cenps
2098,Cenpt
2099,Cenpu
2100,Cenpv
2101,Cenpw
2102,Cenpx
2103,Cep104
2104,Cep112
2105,Cep120
2106,Cep126
2107,Cep128
2108,Cep131
2109,Cep135
2110,Cep152
2111,Cep162
2112,Cep164
2113,Cep170
2114,Cep170b
2115,Cep19
2116,Cep192
2117,Cep250
2118,Cep290
2119,Cep295
2120,Cep350
2121,Cep44
2122,Cep55
2123,Cep57
2124,Cep57l1
2125,Cep63
2126,Cep68
2127,Cep70
2128,Cep76
2129,Cep78
2130,Cep83
2131,Cep83os
2132,Cep85
2133,Cep85l
2134,Cep89
2135,Cep95
2136,Cep97
2137,Cept1
2138,Cercam
2139,Cerk
2140,Cerkl
2141,Cers2
2142,Cers3
2143,Cers5
2144,Cers6
2145,Ces1c
2146,Ces2g
2147,Ces4a
2148,Cetn2
2149,Cetn3
2150,Cetn4
2151,Cfap126
2152,Cfap20
2153,Cfap221
2154,Cfap298
2155,Cfap299
2156,Cfap36
2157,Cfap410
2158,Cfap43
2159,Cfap44
2160,Cfap46
2161,Cfap47
2162,Cfap52
2163,Cfap53
2164,Cfap54
2165,Cfap57
2166,Cfap61
2167,Cfap65
2168,Cfap69
2169,Cfap70
2170,Cfap74
2171,Cfap77
2172,Cfap97
2173,Cfap99
2174,Cfdp1
2175,Cfh
2176,Cfhr3
2177,Cfl1
2178,Cfl2
2179,Cflar
2180,Cftr
2181,Cgas
2182,Cggbp1
2183,Cgn
2184,Cgnl1
2185,Cgref1
2186,Cgrrf1
2187,Chac1
2188,Chac2
2189,Chaf1a
2190,Chaf1b
2191,Champ1
2192,Chchd1
2193,Chchd2
2194,Chchd2-ps
2195,Chchd3
2196,Chchd4
2197,Chchd5
2198,Chchd6
2199,Chchd7
2200,Chd1
2201,Chd2
2202,Chd3
2203,Chd4
2204,Chd5
2205,Chd6
2206,Chd7
2207,Chd8
2208,Chd9
2209,Chek2
2210,Cherp
2211,Chfr
2212,Chic1
2213,Chic2
2214,Chid1
2215,Chka
2216,Chkb
2217,Chl1
2218,Chm
2219,Chmp1a
2220,Chmp2a
2221,Chmp2b
2222,Chmp3
2223,Chmp4b
2224,Chmp4c
2225,Chmp5
2226,Chmp6
2227,Chmp7
2228,Chn1
2229,Chn2
2230,Chordc1
2231,Chp1
2232,Chpf
2233,Chpf2
2234,Chpt1
2235,Chrac1
2236,Chrm1
2237,Chrna1os
2238,Chrna7
2239,Chrna9
2240,Chst10
2241,Chst11
2242,Chst12
2243,Chst3
2244,Chst5
2245,Chst8
2246,Chsy1
2247,Chtf18
2248,Chtop
2249,Chuk
2250,Churc1
2251,Ciao1
2252,Ciao2a
2253,Ciao2b
2254,Ciao3
2255,Ciapin1
2256,Cib1
2257,Cib2
2258,Cic
2259,Cidea
2260,Cilk1
2261,Cinp
2262,Cip2a
2263,Cipc
2264,Cir1
2265,Cirbp
2266,Cisd1
2267,Cisd2
2268,Cisd3
2269,Cit
2270,Cited2
2271,Ciz1
2272,Ckap2
2273,Ckap2l
2274,Ckap4
2275,Ckap5
2276,Cklf
2277,Ckmt1
2278,Ckmt2
2279,Cks1b
2280,Cks1brt
2281,Cks2
2282,Clasp1
2283,Clasp2
2284,Clba1
2285,Clca4b
2286,Clcc1
2287,Clcf1
2288,Clcn3
2289,Clcn4
2290,Clcn5
2291,Clcn6
2292,Clcn7
2293,Cldn12
2294,Cldn18
2295,Cldn34a
2296,Cldn34c1
2297,Cldnd1
2298,Clec16a
2299,Clec18a
2300,Clec2d
2301,Clhc1
2302,Clic1
2303,Clic4
2304,Clint1
2305,Clip1
2306,Clip2
2307,Clip3
2308,Clk1
2309,Clk2
2310,Clk3
2311,Clk4
2312,Clmp
2313,Cln5
2314,Cln6
2315,Cln8
2316,Clnk
2317,Clns1a
2318,Clock
2319,Clp1
2320,Clpb
2321,Clpp
2322,Clps
2323,Clptm1
2324,Clptm1l
2325,Clpx
2326,Clspn
2327,Clstn1
2328,Clta
2329,Cltb
2330,Cltc
2331,Clu
2332,Cluap1
2333,Cluh
2334,Clybl
2335,Cma2
2336,Cmas
2337,Cmc1
2338,Cmc2
2339,Cmc4
2340,Cmip
2341,Cmpk1
2342,Cmpk2
2343,Cmss1
2344,Cmtm3
2345,Cmtm4
2346,Cmtm5
2347,Cmtm6
2348,Cmtm7
2349,Cmtm8
2350,Cnbd1
2351,Cnbd2
2352,Cnbp
2353,Cndp2
2354,Cnep1r1
2355,Cnga3
2356,Cngb1
2357,Cngb3
2358,Cnih1
2359,Cnih3
2360,Cnih4
2361,Cnksr3
2362,Cnn2
2363,Cnn3
2364,Cnnm2
2365,Cnnm3
2366,Cnnm4
2367,Cnot1
2368,Cnot10
2369,Cnot11
2370,Cnot2
2371,Cnot3
2372,Cnot4
2373,Cnot6
2374,Cnot6l
2375,Cnot7
2376,Cnot8
2377,Cnot9
2378,Cnp
2379,Cnppd1
2380,Cnpy2
2381,Cnpy3
2382,Cnpy4
2383,Cnr2
2384,Cnst
2385,Cntln
2386,Cntn1
2387,Cntn3
2388,Cntn4
2389,Cntn5
2390,Cntn6
2391,Cntnap1
2392,Cntnap2
2393,Cntnap3
2394,Cntnap4
2395,Cntnap5a
2396,Cntnap5b
2397,Cntnap5c
2398,Cntrl
2399,Cntrob
2400,Coa3
2401,Coa4
2402,Coa5
2403,Coa6
2404,Coa7
2405,Coasy
2406,Cobl
2407,Cobll1
2408,Cog1
2409,Cog2
2410,Cog3
2411,Cog4
2412,Cog5
2413,Cog6
2414,Cog7
2415,Cog8
2416,Coil
2417,Col12a1
2418,Col13a1
2419,Col14a1
2420,Col16a1
2421,Col17a1
2422,Col18a1
2423,Col19a1
2424,Col1a1
2425,Col23a1
2426,Col25a1
2427,Col26a1
2428,Col3a1
2429,Col4a1
2430,Col4a2
2431,Col4a3bp
2432,Col4a5
2433,Col4a6
2434,Col5a1
2435,Col5a2
2436,Col6a1
2437,Col6a2
2438,Col6a4
2439,Col6a6
2440,Col8a1
2441,Col8a2
2442,Col9a1
2443,Colec12
2444,Colgalt1
2445,Commd1
2446,Commd10
2447,Commd2
2448,Commd3
2449,Commd4
2450,Commd6
2451,Commd7
2452,Commd8
2453,Commd9
2454,Comt
2455,Comtd1
2456,Cop1
2457,Copa
2458,Copb1
2459,Copb2
2460,Cope
2461,Copg1
2462,Copg2
2463,Coprs
2464,Cops2
2465,Cops3
2466,Cops4
2467,Cops5
2468,Cops6
2469,Cops7a
2470,Cops7b
2471,Cops8
2472,Cops9
2473,Copz1
2474,Copz2
2475,Coq10a
2476,Coq10b
2477,Coq2
2478,Coq3
2479,Coq4
2480,Coq5
2481,Coq6
2482,Coq7
2483,Coq8b
2484,Coq9
2485,Coro1b
2486,Coro1c
2487,Coro2a
2488,Coro2b
2489,Coro7
2490,Cotl1
2491,Cox10
2492,Cox11
2493,Cox14
2494,Cox15
2495,Cox16
2496,Cox17
2497,Cox18
2498,Cox19
2499,Cox20
2500,Cox20b
2501,Cox4i1
2502,Cox5a
2503,Cox5b
2504,Cox5b-ps
2505,Cox6a1
2506,Cox6a2
2507,Cox6b1
2508,Cox6c
2509,Cox6c2
2510,Cox7a2
2511,Cox7a2l
2512,Cox7b
2513,Cox7c
2514,Cox7c-ps1
2515,Cox8a
2516,Cp
2517,Cpa3
2518,Cpa6
2519,Cpd
2520,Cpe
2521,Cpeb1
2522,Cpeb3
2523,Cpeb4
2524,Cped1
2525,Cplane1
2526,Cplane2
2527,Cplx2
2528,Cpm
2529,Cpn1
2530,Cpne2
2531,Cpne3
2532,Cpne5
2533,Cpne8
2534,Cpox
2535,Cpped1
2536,Cpq
2537,Cpsf1
2538,Cpsf2
2539,Cpsf3
2540,Cpsf4
2541,Cpsf4l
2542,Cpsf6
2543,Cpsf7
2544,Cpt1a
2545,Cpt1c
2546,Cpt2
2547,Cptp
2548,Cr1l
2549,Cradd
2550,Cramp1l
2551,Crat
2552,Crb2
2553,Crbn
2554,Crcp
2555,Creb1
2556,Creb3
2557,Creb3l1
2558,Creb3l2
2559,Creb5
2560,Crebbp
2561,Crebrf
2562,Crebzf
2563,Creg1
2564,Creld2
2565,Crem
2566,Crhr2
2567,Crim1
2568,Crip1
2569,Crip2
2570,Cript
2571,Crisp4
2572,Crk
2573,Crkl
2574,Crlf1
2575,Crlf2
2576,Crlf3
2577,Crls1
2578,Crnkl1
2579,Crocc
2580,Crot
2581,Crppa
2582,Crry-ps
2583,Crtac1
2584,Crtap
2585,Crtc1
2586,Crtc3
2587,Cry1
2588,Cryab
2589,Crybg1
2590,Crybg2
2591,Crybg3
2592,Cryl1
2593,Cryzl1
2594,Cryzl2
2595,Cs
2596,Csad
2597,Csdc2
2598,Csde1
2599,Cse1l
2600,Csf1
2601,Csf3r
2602,Csgalnact1
2603,Csgalnact2
2604,Csk
2605,Csmd1
2606,Csmd2
2607,Csmd3
2608,Csnk1a1
2609,Csnk1d
2610,Csnk1e
2611,Csnk1g1
2612,Csnk1g2
2613,Csnk1g3
2614,Csnk2a1
2615,Csnk2a2
2616,Csnk2a3
2617,Csnk2b
2618,Cspp1
2619,Csrp1
2620,Csrp2
2621,Cst10
2622,Cst3
2623,Cstb
2624,Cstf2
2625,Cstf2t
2626,Cstf3
2627,Ctbp1
2628,Ctbp2
2629,Ctc1
2630,Ctcf
2631,Ctcfl
2632,Ctdnep1
2633,Ctdsp1
2634,Ctdsp2
2635,Ctdspl
2636,Ctdspl2
2637,Ctf1
2638,Ctf2
2639,Cth
2640,Ctif
2641,Ctla2a
2642,Ctla4
2643,Ctnna1
2644,Ctnna2
2645,Ctnna3
2646,Ctnnal1
2647,Ctnnb1
2648,Ctnnbip1
2649,Ctnnbl1
2650,Ctnnd1
2651,Ctnnd2
2652,Ctns
2653,Ctps
2654,Ctps2
2655,Ctr9
2656,Ctrb1
2657,Ctsa
2658,Ctsb
2659,Ctsd
2660,Ctse
2661,Ctsl
2662,Ctss
2663,Ctsz
2664,Cttn
2665,Cttnbp2
2666,Cttnbp2nl
2667,Ctxn1
2668,Cubn
2669,Cuedc1
2670,Cuedc2
2671,Cul1
2672,Cul2
2673,Cul3
2674,Cul4a
2675,Cul4b
2676,Cul5
2677,Cul7
2678,Cul9
2679,Cuta
2680,Cutc
2681,Cux1
2682,Cux2
2683,Cwc15
2684,Cwc22
2685,Cwc25
2686,Cwc27
2687,Cwf19l2
2688,Cwh43
2689,Cx3cl1
2690,Cx3cr1
2691,Cxadr
2692,Cxcl1
2693,Cxcl10
2694,Cxcl11
2695,Cxcl12
2696,Cxcl15
2697,Cxcl5
2698,Cxcr2
2699,Cxcr5
2700,Cxxc1
2701,Cxxc5
2702,Cyb561a3
2703,Cyb561d2
2704,Cyb5a
2705,Cyb5b
2706,Cyb5d1
2707,Cyb5d2
2708,Cyb5r1
2709,Cyb5r3
2710,Cyb5r4
2711,Cyb5rl
2712,Cyba
2713,Cyc1
2714,Cycs
2715,Cyfip1
2716,Cyfip2
2717,Cyhr1
2718,Cyld
2719,Cyp1b1
2720,Cyp20a1
2721,Cyp27a1
2722,Cyp2a21-ps
2723,Cyp2c23
2724,Cyp2c39
2725,Cyp2c52-ps
2726,Cyp2c55
2727,Cyp2c66
2728,Cyp2c70
2729,Cyp2j9
2730,Cyp2s1
2731,Cyp2u1
2732,Cyp39a1
2733,Cyp3a13
2734,Cyp3a44
2735,Cyp46a1
2736,Cyp4a29
2737,Cyp4f13
2738,Cyp4f16
2739,Cyp4f17
2740,Cyp51
2741,Cyp7b1
2742,Cyren
2743,Cys1
2744,Cystm1
2745,Cyth1
2746,Cyth2
2747,Cyth3
2748,Czib
2749,D030028A08Rik
2750,D030056L22Rik
2751,D030068K23Rik
2752,D10Wsu102e
2753,D130007C19Rik
2754,D130009I18Rik
2755,D130019J16Rik
2756,D130040H23Rik
2757,D130043K22Rik
2758,D130079A08Rik
2759,D17H6S53E
2760,D1Ertd622e
2761,D230025D16Rik
2762,D2hgdh
2763,D330023K18Rik
2764,D330041H03Rik
2765,D3Ertd751e
2766,D430001F17Rik
2767,D430042O09Rik
2768,D5Ertd579e
2769,D5Ertd605e
2770,D5Ertd615e
2771,D630045J12Rik
2772,D6Wsu163e
2773,D730003I15Rik
2774,D730044K07Rik
2775,D7Ertd443e
2776,D8Ertd738e
2777,D930020B18Rik
2778,D930032P07Rik
2779,D9Wsu149
2780,Daam1
2781,Daam2
2782,Dab2
2783,Dab2ip
2784,Dach1
2785,Dach2
2786,Dact3
2787,Dad1
2788,Dag1
2789,Dagla
2790,Daglb
2791,Dand5
2792,Dap
2793,Dap3
2794,Dapk1
2795,Dapk2
2796,Dapk3
2797,Dapp1
2798,Dars
2799,Dars2
2800,Daxx
2801,Dazap1
2802,Dazap2
2803,Dbf4
2804,Dbi
2805,Dbn1
2806,Dbnl
2807,Dbt
2808,Dcaf1
2809,Dcaf10
2810,Dcaf11
2811,Dcaf12
2812,Dcaf13
2813,Dcaf15
2814,Dcaf17
2815,Dcaf4
2816,Dcaf5
2817,Dcaf6
2818,Dcaf7
2819,Dcaf8
2820,Dcakd
2821,Dcbld1
2822,Dcbld2
2823,Dcc
2824,Dcdc5
2825,Dck
2826,Dclk1
2827,Dclk2
2828,Dclre1a
2829,Dclre1b
2830,Dclre1c
2831,Dcn
2832,Dcp1a
2833,Dcp2
2834,Dcps
2835,Dct
2836,Dctd
2837,Dctn1
2838,Dctn2
2839,Dctn3
2840,Dctn4
2841,Dctn5
2842,Dctn6
2843,Dctpp1
2844,Dcun1d1
2845,Dcun1d3
2846,Dcun1d4
2847,Dcun1d5
2848,Dcxr
2849,Dda1
2850,Ddah1
2851,Ddah2
2852,Ddb1
2853,Ddb2
2854,Ddc
2855,Ddhd1
2856,Ddhd2
2857,Ddi2
2858,Ddit3
2859,Ddit4
2860,Ddost
2861,Ddr1
2862,Ddr2
2863,Ddrgk1
2864,Ddt
2865,Ddx1
2866,Ddx10
2867,Ddx11
2868,Ddx17
2869,Ddx18
2870,Ddx19a
2871,Ddx19b
2872,Ddx20
2873,Ddx21
2874,Ddx23
2875,Ddx24
2876,Ddx27
2877,Ddx39
2878,Ddx39b
2879,Ddx3x
2880,Ddx3y
2881,Ddx41
2882,Ddx42
2883,Ddx43
2884,Ddx46
2885,Ddx47
2886,Ddx5
2887,Ddx50
2888,Ddx51
2889,Ddx52
2890,Ddx54
2891,Ddx55
2892,Ddx56
2893,Ddx58
2894,Ddx59
2895,Ddx6
2896,Ddx60
2897,Deaf1
2898,Decr1
2899,Decr2
2900,Dedd
2901,Def6
2902,Defb39
2903,Defb43
2904,Degs1
2905,Dek
2906,Dele1
2907,Denn2b
2908,Dennd1a
2909,Dennd1b
2910,Dennd1c
2911,Dennd2a
2912,Dennd3
2913,Dennd4a
2914,Dennd4c
2915,Dennd5a
2916,Dennd5b
2917,Dennd6a
2918,Dennd6b
2919,Denr
2920,Depdc1a
2921,Depdc1b
2922,Depdc5
2923,Depdc7
2924,Deptor
2925,Dera
2926,Derl1
2927,Derl2
2928,Des
2929,Desi1
2930,Desi2
2931,Det1
2932,Dffa
2933,Dffb
2934,Dgat1
2935,Dgat2
2936,Dgcr6
2937,Dgcr8
2938,Dgka
2939,Dgkb
2940,Dgkd
2941,Dgke
2942,Dgkg
2943,Dgkh
2944,Dgki
2945,Dgkz
2946,Dglucy
2947,Dguok
2948,Dhcr24
2949,Dhcr7
2950,Dhdds
2951,Dhdh
2952,Dhfr
2953,Dhps
2954,Dhrs1
2955,Dhrs13
2956,Dhrs2
2957,Dhrs3
2958,Dhrs4
2959,Dhrs7
2960,Dhrs7b
2961,Dhrs9
2962,Dhtkd1
2963,Dhx15
2964,Dhx16
2965,Dhx29
2966,Dhx30
2967,Dhx32
2968,Dhx34
2969,Dhx35
2970,Dhx36
2971,Dhx37
2972,Dhx38
2973,Dhx40
2974,Dhx57
2975,Dhx58
2976,Dhx8
2977,Dhx9
2978,Diablo
2979,Diaph1
2980,Diaph2
2981,Diaph3
2982,Dicer1
2983,Dido1
2984,Dimt1
2985,Dip2a
2986,Dip2b
2987,Dip2c
2988,Dipk1a
2989,Dipk1b
2990,Dipk2a
2991,Dis3
2992,Dis3l
2993,Dis3l2
2994,Disc1
2995,Disp1
2996,Dixdc1
2997,Dkc1
2998,Dkk3
2999,Dlat
3000,Dlc1
3001,Dld
3002,Dleu2
3003,Dlg1
3004,Dlg2
3005,Dlg4
3006,Dlg5
3007,Dlgap1
3008,Dlgap2
3009,Dlgap4
3010,Dlgap5
3011,Dlk2
3012,Dlst
3013,Dlx1as
3014,Dmac1
3015,Dmac2
3016,Dmac2l
3017,Dmap1
3018,Dmbx1
3019,Dmc1
3020,Dmd
3021,Dmkn
3022,Dmpk
3023,Dmrt1
3024,Dmtf1
3025,Dmtn
3026,Dmwd
3027,Dmxl1
3028,Dmxl2
3029,Dna2
3030,Dnaaf1
3031,Dnaaf5
3032,Dnah10
3033,Dnah11
3034,Dnah12
3035,Dnah14
3036,Dnah17
3037,Dnah2
3038,Dnah6
3039,Dnah7a
3040,Dnah7b
3041,Dnah7c
3042,Dnah9
3043,Dnaic2
3044,Dnaja1
3045,Dnaja2
3046,Dnaja3
3047,Dnajb1
3048,Dnajb11
3049,Dnajb12
3050,Dnajb14
3051,Dnajb2
3052,Dnajb4
3053,Dnajb6
3054,Dnajb6-ps
3055,Dnajb9
3056,Dnajc1
3057,Dnajc10
3058,Dnajc11
3059,Dnajc12
3060,Dnajc13
3061,Dnajc14
3062,Dnajc15
