"","colnames.protein_input_750wide_norm.","SampleID","Group","Batch","Channel"
"86","SVEC_A6_2","SVEC_A6_2","SVEC","A6","SVEC_2"
"87","SVEC_A6_3","SVEC_A6_3","SVEC","A6","SVEC_3"
"88","SVEC_A6_4","SVEC_A6_4","SVEC","A6","SVEC_4"
"89","SVEC_A7_1","SVEC_A7_1","SVEC","A7","SVEC_1"
"90","SVEC_A7_2","SVEC_A7_2","SVEC","A7","SVEC_2"
"91","SVEC_A7_3","SVEC_A7_3","SVEC","A7","SVEC_3"
"92","SVEC_A7_4","SVEC_A7_4","SVEC","A7","SVEC_4"
"93","SVEC_A8_1","SVEC_A8_1","SVEC","A8","SVEC_1"
"94","SVEC_A8_2","SVEC_A8_2","SVEC","A8","SVEC_2"
"95","SVEC_A8_3","SVEC_A8_3","SVEC","A8","SVEC_3"
"96","SVEC_A8_4","SVEC_A8_4","SVEC","A8","SVEC_4"
"97","SVEC_B1_1","SVEC_B1_1","SVEC","B1","SVEC_1"
"98","SVEC_B1_2","SVEC_B1_2","SVEC","B1","SVEC_2"
"99","SVEC_B1_3","SVEC_B1_3","SVEC","B1","SVEC_3"
"100","SVEC_B1_4","SVEC_B1_4","SVEC","B1","SVEC_4"
"101","SVEC_B2_1","SVEC_B2_1","SVEC","B2","SVEC_1"
"102","SVEC_B2_2","SVEC_B2_2","SVEC","B2","SVEC_2"
"103","SVEC_B2_3","SVEC_B2_3","SVEC","B2","SVEC_3"
"104","SVEC_B2_4","SVEC_B2_4","SVEC","B2","SVEC_4"
"105","SVEC_B3_1","SVEC_B3_1","SVEC","B3","SVEC_1"
"106","SVEC_B3_2","SVEC_B3_2","SVEC","B3","SVEC_2"
"107","SVEC_B3_3","SVEC_B3_3","SVEC","B3","SVEC_3"
"108","SVEC_B3_4","SVEC_B3_4","SVEC","B3","SVEC_4"
"109","SVEC_B4_1","SVEC_B4_1","SVEC","B4","SVEC_1"
"110","SVEC_B4_2","SVEC_B4_2","SVEC","B4","SVEC_2"
"111","SVEC_B4_3","SVEC_B4_3","SVEC","B4","SVEC_3"
"112","SVEC_B4_4","SVEC_B4_4","SVEC","B4","SVEC_4"
"113","SVEC_B5_1","SVEC_B5_1","SVEC","B5","SVEC_1"
"114","SVEC_B5_2","SVEC_B5_2","SVEC","B5","SVEC_2"
"115","SVEC_B5_3","SVEC_B5_3","SVEC","B5","SVEC_3"
"116","SVEC_B5_4","SVEC_B5_4","SVEC","B5","SVEC_4"
"117","SVEC_B6_1","SVEC_B6_1","SVEC","B6","SVEC_1"
"118","SVEC_B6_2","SVEC_B6_2","SVEC","B6","SVEC_2"
"119","SVEC_B6_3","SVEC_B6_3","SVEC","B6","SVEC_3"
"120","SVEC_B6_4","SVEC_B6_4","SVEC","B6","SVEC_4"
"121","SVEC_B7_1","SVEC_B7_1","SVEC","B7","SVEC_1"
"122","SVEC_B7_2","SVEC_B7_2","SVEC","B7","SVEC_2"
"123","SVEC_B7_3","SVEC_B7_3","SVEC","B7","SVEC_3"
